fips,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19,residual_2019,r_net_mig_2019,unemployed_2020,unemployment_rate_2020,med_hh_income_percent_of_state_total_2019,party,cluster
01001,11.483394622802734,33.58845901489258,26.57157325744629,-1.0,4.5600617583,1262.0,4.9,112.4818878173828,REPUBLICAN,3
01003,9.193842887878418,27.65961647033692,31.86245918273925,24.0,24.380567187,5425.0,5.6,115.64582824707033,REPUBLICAN,3
01005,26.78690719604492,35.60454177856445,11.578713417053224,-2.0,-5.165664474,605.0,7.0,69.48291778564453,REPUBLICAN,3
01007,20.942602157592773,44.8787727355957,10.378525733947754,-2.0,1.8319519224,573.0,6.6,92.55760955810548,REPUBLICAN,3
01009,19.50943756103516,33.4221305847168,13.093413352966309,-4.0,1.1245966591,1008.0,4.1,102.18462371826172,REPUBLICAN,3
01011,25.32037734985352,40.27601623535156,12.05463981628418,0.0,-7.200986436,265.0,5.5,61.62909698486328,DEMOCRAT,3
01013,14.950430870056152,45.18416595458984,16.137203216552734,-1.0,-6.294941017,801.0,8.8,77.15516662597656,REPUBLICAN,3
01015,15.567325592041016,32.79061508178711,18.48106384277344,-2.0,-4.044995086,3260.0,7.1,92.22731018066406,REPUBLICAN,3
01017,18.37824249267578,36.73546600341797,13.296061515808104,0.0,-7.748227481,1078.0,6.8,81.15547180175781,REPUBLICAN,3
01019,18.427465438842773,40.256439208984375,12.7529935836792,0.0,11.606971844,530.0,4.6,88.81806182861328,REPUBLICAN,3
01021,18.218730926513672,44.42521286010742,12.72382354736328,-2.0,4.9440688106,974.0,5.0,95.98423767089844,REPUBLICAN,3
01023,18.61935806274414,37.67820739746094,11.93053913116455,0.0,-15.81307529,308.0,6.7,76.89247131347656,REPUBLICAN,3
01025,19.43351173400879,41.7710189819336,12.224209785461426,-1.0,-9.970551115,700.0,9.0,84.64584350585938,REPUBLICAN,3
01027,23.31113243103028,37.81583786010742,10.56136989593506,-1.0,-1.055448754,245.0,4.0,78.34888458251953,REPUBLICAN,3
01029,20.971281051635746,37.97347640991211,15.418375968933104,-1.0,-6.483957219,262.0,4.6,99.04386901855467,REPUBLICAN,3
01031,14.073612213134766,27.24336242675781,22.792055130004883,-5.0,7.0571088866,944.0,4.4,110.67779541015624,REPUBLICAN,3
01033,14.843810081481934,37.83464813232422,18.14728355407715,-3.0,5.9685246496,1550.0,6.6,90.17210388183594,REPUBLICAN,3
01035,15.668516159057615,51.12645721435547,12.770293235778809,0.0,-13.62945934,331.0,7.3,80.23603820800781,REPUBLICAN,3
01037,20.002422332763672,40.283329010009766,12.822375297546388,-2.0,5.1628649207,242.0,5.5,81.17285919189453,REPUBLICAN,3
01039,16.58562469482422,37.30056381225586,15.271235466003418,-4.0,6.2160482149,738.0,4.9,86.6044692993164,REPUBLICAN,3
01041,20.80495262145996,39.52528381347656,17.409700393676758,0.0,-0.7971881,357.0,5.7,83.65494537353516,REPUBLICAN,3
01043,18.44576072692871,34.0713005065918,13.86550235748291,-4.0,4.9525677987,1650.0,4.3,98.31179809570312,REPUBLICAN,3
01045,13.879853248596191,32.28684997558594,18.138410568237305,-2.0,-1.44433708,1009.0,4.9,87.15303802490234,REPUBLICAN,3
01047,18.1564884185791,35.91984558105469,14.70992374420166,3.0,-26.41409458,1570.0,10.7,65.73950958251953,DEMOCRAT,3
01049,25.15524101257324,34.23838424682617,13.01521110534668,-4.0,1.875174923,1388.0,4.5,85.52471160888672,REPUBLICAN,3
01051,13.37600040435791,32.50316619873047,25.06551551818848,-5.0,1.1342621132,1777.0,4.9,120.3569564819336,REPUBLICAN,3
01053,18.86383819580078,43.729454040527344,12.467613220214844,-2.0,4.5108465355,864.0,6.0,82.50178527832031,REPUBLICAN,3
01055,15.447300910949709,32.85762023925781,17.79070472717285,-6.0,-0.244046486,3126.0,7.7,83.14886474609375,REPUBLICAN,3
01057,17.40133285522461,41.26943588256836,12.395352363586426,0.0,-5.618835313,326.0,5.0,85.39916229248047,REPUBLICAN,3
01059,22.79899978637696,36.5678825378418,13.985374450683594,-2.0,0.0319182892,638.0,4.4,86.67787170410156,REPUBLICAN,3
01061,19.67845726013184,35.980709075927734,12.491961479187012,-3.0,2.0921695799,444.0,4.1,83.22999572753906,REPUBLICAN,3
01063,20.78370475769043,38.615570068359375,10.115656852722168,0.0,-12.37745098,328.0,10.9,55.43450927734375,DEMOCRAT,3
01065,15.996371269226074,43.37264251708984,14.222356796264648,-1.0,-7.210884354,572.0,9.4,78.70236206054688,DEMOCRAT,3
01067,20.61965751647949,32.55259704589844,17.06114387512207,0.0,4.5377857932,327.0,4.8,93.86915588378906,REPUBLICAN,3
01069,13.95587158203125,31.244199752807617,21.70667266845703,-2.0,8.991132294,2497.0,5.4,96.8457260131836,REPUBLICAN,3
01071,16.80586051940918,41.02002716064453,13.98686408996582,-3.0,2.3438937693,1203.0,5.3,85.61163330078125,REPUBLICAN,3
01073,9.935452461242676,26.37862014770508,33.37995147705078,-20.0,-2.905913648,19675.0,6.2,104.55081176757812,DEMOCRAT,0
01075,17.657821655273438,39.76822280883789,11.93453311920166,1.0,-4.695344385,278.0,4.9,82.45156860351562,REPUBLICAN,3
01077,12.618306159973145,35.960445404052734,23.500926971435547,-5.0,4.208640663,2321.0,5.5,93.07913970947266,REPUBLICAN,3
01079,20.69571876525879,41.19842147827149,12.567556381225586,-4.0,2.004099294,703.0,4.9,92.32389068603516,REPUBLICAN,3
01081,9.117510795593262,23.72469139099121,35.312965393066406,3.0,1.1639315291,3935.0,5.2,104.61455535888672,REPUBLICAN,3
01083,15.313457489013672,30.396408081054688,25.73625373840332,11.0,26.41830521,1900.0,4.3,125.02945709228516,REPUBLICAN,3
01085,21.65109062194824,39.64882659912109,14.68422508239746,1.0,-22.74111675,488.0,13.3,65.53861999511719,DEMOCRAT,3
01087,18.199949264526367,30.191972732543945,20.360673904418945,0.0,-8.848827943,773.0,9.6,66.21660614013672,DEMOCRAT,3
01089,8.29916000366211,20.635292053222656,42.757102966308594,17.0,13.382654447,8668.0,4.6,132.5240020751953,REPUBLICAN,3
01091,16.177818298339844,37.96211242675781,16.109073638916016,0.0,-6.645744877,485.0,6.2,75.01882934570312,DEMOCRAT,3
01093,20.425912857055664,34.82512283325195,12.763257026672363,-3.0,2.1863805311,661.0,5.1,86.29348754882812,REPUBLICAN,3
01095,18.38949203491211,31.14690017700196,19.368305206298828,-4.0,3.8145783232,1845.0,4.2,94.4795379638672,REPUBLICAN,3
01097,13.533306121826172,33.967750549316406,23.19949150085449,-10.0,-3.760043912,15121.0,7.9,95.5979232788086,REPUBLICAN,3
01099,14.35657024383545,47.23468017578125,13.47329807281494,1.0,-12.0110061,610.0,8.2,77.27298736572266,REPUBLICAN,3
01101,13.268247604370115,25.00365257263184,33.37583923339844,2.0,-4.03540917,8368.0,7.8,101.81568908691406,DEMOCRAT,3
01103,15.927884101867676,30.40204620361328,22.40112495422364,-8.0,3.3321891143,2634.0,4.5,104.9912109375,REPUBLICAN,3
01105,17.16811180114746,36.91993713378906,22.777494430541992,1.0,-13.56082921,373.0,10.9,57.12078094482422,DEMOCRAT,3
01107,18.489133834838867,37.17144012451172,14.122111320495604,-1.0,-0.95214232,499.0,6.5,77.74429321289062,REPUBLICAN,3
01109,15.03264617919922,35.74981689453125,23.733028411865234,-3.0,-3.948399542,772.0,4.9,79.71837615966797,REPUBLICAN,3
01111,20.366378784179688,34.87575912475586,16.525100708007812,-1.0,1.1881449537,447.0,4.7,82.90741729736328,REPUBLICAN,3
01113,16.17934226989746,31.4414176940918,17.823741912841797,-2.0,-0.397425375,1210.0,5.1,84.35224151611328,DEMOCRAT,3
01115,15.446730613708496,35.57078552246094,16.084917068481445,-1.0,9.5528888789,1986.0,4.9,126.3313446044922,REPUBLICAN,3
01117,7.328763008117676,19.82781791687012,42.929443359375,-10.0,7.0069353889,4402.0,3.9,150.27911376953125,REPUBLICAN,3
01119,13.303659439086914,35.36103057861328,21.56280899047852,0.0,-14.36494952,331.0,7.0,56.41961669921875,DEMOCRAT,3
01121,19.670316696166992,33.72028732299805,14.960798263549805,-5.0,0.5745870156,2532.0,7.0,92.17322540283205,REPUBLICAN,3
01123,19.34628677368164,32.70659637451172,18.44280815124512,-3.0,-0.395540283,1239.0,6.9,90.97757720947266,REPUBLICAN,3
01125,11.650755882263184,29.893999099731445,30.730846405029297,-5.0,2.3080201305,6749.0,6.6,101.03533172607422,REPUBLICAN,3
01127,18.17917823791504,37.506141662597656,11.343843460083008,-3.0,1.1636134916,1446.0,5.8,88.83544921875,REPUBLICAN,3
01129,17.371761322021484,43.06363296508789,12.66525650024414,1.0,-3.116597409,539.0,8.0,94.3848876953125,REPUBLICAN,3
01131,23.545122146606445,39.471466064453125,12.496485710144045,0.0,-18.78695403,423.0,14.7,59.875221252441406,DEMOCRAT,3
01133,21.187923431396484,38.21403503417969,12.829330444335938,-1.0,0.8030091712,475.0,4.7,78.86075592041016,REPUBLICAN,3
02013,14.525994300842283,43.46330261230469,11.506115913391112,1.0,-17.82531194,100.0,4.0,86.68445587158203,REPUBLICAN,3
02016,10.54034423828125,39.03561782836914,17.034164428710938,1.0,-6.741174384,169.0,4.5,109.74443817138672,DEMOCRAT,3
02020,6.098400115966797,23.42002487182617,36.10882186889648,11.0,-15.93027738,10971.0,7.4,106.87667846679688,DEMOCRAT,3
04001,19.597766876220703,32.2387580871582,12.300607681274414,-1.0,-1.044437327,2581.0,12.8,57.04935073852539,DEMOCRAT,3
04003,12.61652946472168,24.103424072265625,23.109575271606445,4.0,-4.192872117,3627.0,7.0,78.43358612060547,REPUBLICAN,3
04005,9.480019569396973,22.038997650146484,36.16032791137695,3.0,2.3636446281,7295.0,9.7,93.99293518066406,DEMOCRAT,3
04007,13.674039840698242,27.85405540466309,18.73379135131836,1.0,9.515948024,1621.0,7.7,74.1290054321289,REPUBLICAN,3
04009,14.74310302734375,28.722686767578125,15.152281761169434,2.0,16.581632653,1008.0,6.3,81.71441650390625,REPUBLICAN,3
04011,11.940553665161133,34.711307525634766,13.512128829956056,-1.0,-4.644779901,244.0,5.5,109.736083984375,REPUBLICAN,3
04012,23.06110954284668,31.14682579040528,12.010215759277344,-3.0,9.06351579,636.0,7.1,63.53200912475586,REPUBLICAN,3
04013,12.274147987365724,22.39362335205078,32.69807052612305,315.0,14.176034453,172361.0,7.4,110.6518096923828,DEMOCRAT,1
04015,13.932609558105469,35.344181060791016,12.94581127166748,34.0,21.249285245,8854.0,10.0,80.14574432373047,REPUBLICAN,3
04017,16.618221282958984,30.319744110107425,15.254165649414062,-3.0,3.210258358,4097.0,10.1,65.57789611816406,REPUBLICAN,3
04019,11.615518569946287,22.247907638549805,32.383209228515625,28.0,9.6024969371,38308.0,7.7,90.52509307861328,DEMOCRAT,0
04021,14.23302936553955,29.265783309936523,19.532123565673828,78.0,32.249517642,14400.0,7.5,100.06449127197266,REPUBLICAN,3
04023,23.401132583618164,28.660160064697266,20.432052612304688,1.0,-4.327559665,2220.0,11.4,77.02935791015625,DEMOCRAT,3
04025,8.95071792602539,25.840824127197266,25.877349853515625,23.0,19.551439263,8007.0,7.5,87.44901275634766,REPUBLICAN,3
04027,26.746959686279297,25.707839965820312,15.02610969543457,-6.0,4.2454260588,16810.0,17.1,75.81214904785156,REPUBLICAN,3
05001,16.091121673583984,38.89559555053711,15.76913833618164,2.0,-13.17732591,378.0,4.0,107.17870330810548,REPUBLICAN,3
05003,16.714969635009766,43.66758346557617,12.338791847229004,0.0,-15.98225314,668.0,9.3,97.39698028564452,REPUBLICAN,3
05005,11.26986598968506,36.30527114868164,17.881982803344727,-1.0,15.678108095,981.0,5.9,85.57731628417969,REPUBLICAN,3
05007,11.418171882629396,29.177663803100582,33.351158142089844,21.0,17.881528526,6231.0,4.5,144.37985229492188,REPUBLICAN,3
05009,12.589000701904297,33.38721466064453,16.137474060058594,-3.0,2.7533849259,830.0,5.3,102.1685028076172,REPUBLICAN,3
05011,18.962766647338867,41.28989410400391,14.33510684967041,0.0,-5.647886672,256.0,5.8,81.56262969970703,REPUBLICAN,3
05013,15.76540184020996,44.68657684326172,11.407048225402832,0.0,-5.568356375,125.0,5.2,98.76580810546876,REPUBLICAN,3
05015,13.721539497375488,35.9359245300293,21.222043991088867,-3.0,10.269667298,720.0,5.7,89.43492126464844,REPUBLICAN,3
05017,19.23128700256348,38.07283782958984,15.88496208190918,0.0,-27.72373541,336.0,10.3,75.5079574584961,REPUBLICAN,3
05019,10.044795036315918,30.18753242492676,26.6342716217041,-1.0,0.7169583044,549.0,5.9,89.97348022460938,REPUBLICAN,3
05021,17.529691696166992,41.900238037109375,12.57007122039795,0.0,-11.59855359,333.0,6.0,82.998779296875,REPUBLICAN,3
05023,14.053388595581056,42.8342170715332,15.545926094055176,-1.0,3.3658565905,697.0,7.6,94.27580261230467,REPUBLICAN,3
05025,10.422881126403809,46.552024841308594,16.248464584350586,0.0,-3.2599837,195.0,6.1,109.696044921875,REPUBLICAN,3
05027,14.1259126663208,41.71611785888672,19.63713264465332,-1.0,-4.719086793,620.0,6.8,87.64585876464844,REPUBLICAN,3
05029,12.950434684753418,43.84923553466797,15.62197971343994,-2.0,0.4319550767,504.0,6.0,95.72419738769533,REPUBLICAN,3
05031,10.675134658813477,34.581809997558594,26.232526779174805,-1.0,9.9567415628,2972.0,5.3,97.44186401367188,REPUBLICAN,3
05033,15.020352363586426,37.279911041259766,15.966962814331056,0.0,-3.506112006,1438.0,5.4,90.98326873779295,REPUBLICAN,3
05035,17.38947868347168,34.772499084472656,17.437917709350586,2.0,-12.41720135,1750.0,8.3,85.63035583496094,DEMOCRAT,3
05037,16.355424880981445,41.50091171264648,14.427168846130373,2.0,-12.10324064,444.0,6.1,92.3561782836914,REPUBLICAN,3
05039,16.05442237854004,44.06219482421875,11.856170654296877,-2.0,-19.06645011,151.0,5.3,84.2798843383789,REPUBLICAN,3
05041,18.93687629699707,44.60771942138672,14.05571174621582,0.0,-9.532971838,373.0,7.0,75.48959350585938,REPUBLICAN,3
05043,13.086356163024902,35.288570404052734,22.77677726745605,0.0,-7.6066435,534.0,6.9,90.08975982666016,REPUBLICAN,3
05045,8.166707992553711,30.463035583496094,30.556617736816406,0.0,2.1740428836,3361.0,5.4,119.30232238769533,REPUBLICAN,3
05047,16.276941299438477,41.02521514892578,12.141133308410645,-2.0,-1.972998112,419.0,5.6,93.16605377197266,REPUBLICAN,3
05049,14.405152320861816,35.82646179199219,12.235905647277832,-1.0,19.124470446,253.0,5.1,67.16850280761719,REPUBLICAN,3
05051,10.884743690490724,31.42989158630371,21.637958526611328,-3.0,7.0480761475,3295.0,8.0,93.40269470214844,REPUBLICAN,3
05053,9.198113441467283,43.789306640625,18.710691452026367,0.0,5.542598436,426.0,5.2,119.47368621826172,REPUBLICAN,3
05055,11.757664680480955,45.86021041870117,16.15681266784668,-2.0,-2.0735904,1158.0,6.0,96.07915496826172,REPUBLICAN,3
05057,17.38432502746582,36.8204345703125,15.088282585144045,1.0,-9.810954023,499.0,5.2,83.36801147460938,REPUBLICAN,3
05059,14.16869068145752,38.9988899230957,13.283661842346191,-1.0,3.4992512195,815.0,5.8,93.55364990234376,REPUBLICAN,3
05061,14.770526885986328,38.38970565795898,13.574763298034668,0.0,-7.621491096,276.0,5.0,84.51040649414062,REPUBLICAN,3
05063,13.979778289794922,37.62041091918945,17.53841209411621,-2.0,-0.634979429,959.0,5.8,97.7213363647461,REPUBLICAN,3
05065,16.213830947875977,38.01863479614258,13.065228462219238,1.0,8.452464077,391.0,8.4,82.07466125488281,REPUBLICAN,3
05067,19.832881927490234,42.48382186889648,10.149913787841797,-1.0,-0.836520076,419.0,7.1,78.81681060791016,REPUBLICAN,3
05069,13.855960845947266,38.887939453125,17.992069244384766,4.0,-17.91075757,2204.0,8.0,82.73153686523438,DEMOCRAT,3
05071,21.112449645996094,40.6520881652832,15.377991676330566,-1.0,-5.785449969,638.0,6.3,82.40718078613281,REPUBLICAN,3
05073,20.29369735717773,40.22027206420898,15.806649208068848,-1.0,-3.15718259,185.0,7.6,75.81395721435547,REPUBLICAN,3
05075,15.869623184204102,38.6499252319336,15.406537055969238,0.0,1.7662464218,417.0,6.1,80.79151153564453,REPUBLICAN,3
05077,24.1634578704834,40.3908805847168,10.749185562133787,0.0,-8.97213032,210.0,7.5,62.05834197998047,DEMOCRAT,3
05079,18.91603660583496,47.29493713378906,9.734341621398926,-2.0,-8.547008547,229.0,6.0,90.31415557861328,REPUBLICAN,3
05081,11.04209804534912,44.651485443115234,12.537382125854492,-1.0,0.244339469,347.0,6.4,88.24357604980469,REPUBLICAN,3
05083,13.769678115844728,45.084590911865234,13.345090866088867,0.0,-6.76881708,575.0,6.6,86.18727111816406,REPUBLICAN,3
05085,10.871637344360352,36.68296813964844,20.60761833190918,4.0,-3.462849352,1858.0,5.5,128.07424926757812,REPUBLICAN,3
05087,19.357725143432617,43.8590202331543,14.22309684753418,1.0,8.925860708,287.0,3.9,97.9518585205078,REPUBLICAN,3
05089,13.492063522338867,37.515872955322266,17.071428298950195,-2.0,10.072244372,403.0,6.4,79.06977081298828,REPUBLICAN,3
05091,13.54640769958496,35.308990478515625,16.756010055541992,-3.0,-3.486532978,1332.0,6.9,103.84536743164062,REPUBLICAN,3
05093,18.850685119628903,38.84627914428711,13.838024139404297,4.0,-16.38843773,1559.0,9.0,81.57894897460938,REPUBLICAN,3
05095,21.14467430114746,41.27583312988281,12.698728561401367,1.0,-19.58618658,182.0,6.7,69.9489974975586,REPUBLICAN,3
05097,20.2033805847168,36.36907577514648,13.488859176635742,-1.0,15.310683952,203.0,6.8,80.7649917602539,REPUBLICAN,3
