fips,state,area_name,2013_urban_influence_code,percent_of_adults_with_a_high_school_diploma_only_1980,percent_of_adults_completing_some_college_or_associates_degree_2000,bachelors_degree_or_higher_2015_19,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_completing_some_college_or_associates_degree_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19
01001,AL,Autauga County,2.0,35.2,26.9,9929.0,11.483394622802734,33.58845901489258,28.35657119750977,26.57157325744629
01003,AL,Baldwin County,2.0,33.7,29.3,48148.0,9.193842887878418,27.659616470336918,31.284080505371094,31.862459182739254
01005,AL,Barbour County,6.0,26.1,21.3,2080.0,26.78690719604492,35.60454177856445,26.02983665466309,11.578713417053224
01007,AL,Bibb County,1.0,29.6,20.4,1678.0,20.942602157592773,44.8787727355957,23.800098419189453,10.378525733947754
01009,AL,Blount County,1.0,32.4,24.8,5210.0,19.50943756103516,33.4221305847168,33.97502136230469,13.093413352966309
01011,AL,Bullock County,6.0,22.5,17.5,856.0,25.32037734985352,40.27601623535156,22.34896469116211,12.05463981628418
01013,AL,Butler County,6.0,28.8,22.9,2230.0,14.950430870056152,45.18416595458984,23.728200912475582,16.137203216552734
01015,AL,Calhoun County,2.0,32.8,26.4,14620.0,15.567325592041016,32.79061508178711,33.16099548339844,18.48106384277344
01017,AL,Chambers County,5.0,28.3,22.5,3163.0,18.37824249267578,36.73546600341797,31.59023094177246,13.296061515808104
01019,AL,Cherokee County,6.0,28.1,18.9,2407.0,18.427465438842773,40.256439208984375,28.56310272216797,12.7529935836792
01021,AL,Chilton County,1.0,31.1,20.5,3823.0,18.218730926513672,44.42521286010742,24.632230758666992,12.72382354736328
01023,AL,Choctaw County,10.0,29.3,20.6,1113.0,18.61935806274414,37.67820739746094,31.77189445495605,11.93053913116455
01025,AL,Clarke County,11.0,30.5,21.1,2050.0,19.43351173400879,41.7710189819336,26.571258544921875,12.224209785461426
01027,AL,Clay County,10.0,32.1,20.4,999.0,23.311132431030277,37.81583786010742,28.31166076660156,10.56136989593506
01029,AL,Cleburne County,4.0,27.4,17.8,1616.0,20.971281051635746,37.97347640991211,25.63686752319336,15.418375968933104
