fips,state,area_name,urban_influence_code_2013,economic_typology_2015,international_mig_2019,net_mig_2010,net_mig_2019,residual_2010,residual_2011,residual_2012,residual_2013,residual_2016,residual_2019,gq_estimates_2019,r_birth_2019,r_death_2019,r_natural_inc_2019,r_international_mig_2011,r_international_mig_2019,r_net_mig_2011,r_net_mig_2012,r_net_mig_2013,r_net_mig_2014,r_net_mig_2015,r_net_mig_2016,r_net_mig_2017,r_net_mig_2018,r_net_mig_2019
01001,AL,Autauga County,2.0,0.0,-16.0,172.0,254.0,11.0,-1.0,15.0,-2.0,-3.0,-1.0,455.0,11.202671406,9.7125724852,1.490098921,0.0727272727,-0.287247985,6.0181818182,-6.226118841,-3.902225545,1.9704433498,-1.712874805,4.777171297,0.8496560701,0.5409157704,4.5600617583
01003,AL,Baldwin County,2.0,5.0,80.0,818.0,5377.0,46.0,10.0,85.0,100.0,16.0,24.0,2170.0,10.446871266,10.546624377,-0.099753111,0.9576108421,0.3627385856,16.641869776,17.488578535,22.751473911,20.184333668,17.725963762,21.27929069,22.398255745,24.727215272,24.380567187
01005,AL,Barbour County,6.0,3.0,13.0,-70.0,-128.0,2.0,-2.0,2.0,1.0,2.0,-2.0,2812.0,10.331328948,12.591307155,-2.259978207,-0.182922368,0.5246377981,0.2926757884,-6.897816914,-8.13218497,-5.140430604,-15.72457483,-18.2380157,-24.99852834,-8.754922145,-5.165664474
01007,AL,Bibb County,1.0,0.0,10.0,-59.0,41.0,2.0,1.0,-2.0,2.0,1.0,-2.0,2148.0,10.723621009,11.25980206,-0.53618105,0.4384522635,0.4468175421,-4.998355804,-3.787545142,-5.797999469,1.3311443404,1.3298167069,-0.708717222,-3.234668557,-6.85709197,1.8319519224
01009,AL,Blount County,1.0,0.0,6.0,7.0,65.0,-6.0,-3.0,-10.0,-5.0,-2.0,-4.0,489.0,11.263268078,11.367077,-0.103808922,-0.278415814,0.1038089224,0.2088118605,-1.650165017,-0.347225236,-2.049589648,-1.338525189,-1.391062424,6.1935618185,-0.069229305,1.1245966591
01011,AL,Bullock County,6.0,3.0,-1.0,-23.0,-73.0,2.0,0.0,-1.0,0.0,-1.0,0.0,1663.0,10.75215783,10.75215783,0.0,1.5776530091,-0.09864365,-21.99433901,-6.954560406,-6.334199953,9.6171978126,-24.592888,-2.212708644,-19.9367858,-1.474201474,-7.200986436
01013,AL,Butler County,6.0,0.0,18.0,-4.0,-123.0,-3.0,0.0,2.0,4.0,-1.0,-1.0,333.0,10.90099542,13.920519972,-3.019524553,0.0478491794,0.9212108805,-3.636537633,-7.896764253,-14.47862331,0.4424452474,-6.223912668,-6.272713695,-4.962406015,-10.07110504,-6.294941017
01015,AL,Calhoun County,2.0,4.0,14.0,-117.0,-461.0,-8.0,2.0,-12.0,-4.0,-3.0,-2.0,2833.0,11.134704478,13.442369788,-2.30766531,0.2201971612,0.1228414994,-6.148582269,-4.588522734,-5.255476952,-4.027746699,-3.215406291,-3.47158938,-1.654454183,-0.48899542,-4.044995086
01017,AL,Chambers County,5.0,0.0,6.0,-48.0,-259.0,-2.0,-1.0,0.0,-2.0,-2.0,0.0,458.0,10.590241422,13.192927873,-2.602686451,0.7923116426,0.1794956173,-1.379209156,4.4909520525,2.5204050232,-3.787656351,1.3240551395,-5.786746579,2.1348514499,-1.515444159,-7.748227481
01019,AL,Cherokee County,6.0,0.0,-3.0,42.0,303.0,-2.0,-2.0,-3.0,-2.0,-2.0,0.0,290.0,8.5041179851,13.139245355,-4.63512737,-0.076994148,-0.114920513,4.3886664613,2.3100467784,6.5416065416,-0.809061489,-2.091928642,5.3980582524,6.7864968103,12.92962041,11.606971844
01021,AL,Chilton County,1.0,0.0,35.0,45.0,219.0,-4.0,0.0,-3.0,-4.0,-2.0,-2.0,393.0,12.439186825,11.355555305,1.0836315201,0.6411577477,0.7901479834,-1.236518513,-3.964661801,0.3210640982,0.6865931249,-2.058083695,2.603750314,4.2279453549,0.6796325453,4.9440688106
01023,AL,Choctaw County,10.0,3.0,-2.0,-17.0,-201.0,0.0,1.0,-3.0,0.0,1.0,0.0,129.0,10.463378176,13.84627488,-3.382896704,-0.145677034,-0.157344033,-14.27634933,-0.588841454,-8.160237389,-3.144418657,-4.444779268,-11.4172629,-5.698883327,-3.959934778,-15.81307529
01025,AL,Clarke County,11.0,3.0,-5.0,-77.0,-237.0,6.0,-1.0,12.0,-4.0,2.0,-1.0,280.0,11.190576357,13.630626841,-2.440050484,0.0778922361,-0.21034918,-5.413510408,-17.61854085,-0.238672978,-9.282413427,-7.30398289,-14.39699825,-9.338264157,-5.752276943,-9.970551115
