fips,state,area_name,urban_influence_code_2013,ci90ub517_2019,ci90ub517p_2019,ci90ubinc_2019
01001,AL,Autauga County,2.0,1850,19.4,63949
01003,AL,Baldwin County,2.0,5987,17.2,65149
01005,AL,Barbour County,6.0,1822,49.0,40122
01007,AL,Bibb County,1.0,1050,32.7,53545
01009,AL,Blount County,1.0,2493,25.8,59027
01011,AL,Bullock County,6.0,807,53.2,35563
01013,AL,Butler County,6.0,1307,41.9,42839
01015,AL,Calhoun County,2.0,4996,28.5,51478
01017,AL,Chambers County,5.0,1917,38.8,46692
01019,AL,Cherokee County,6.0,1076,29.2,51189
01021,AL,Chilton County,1.0,2158,27.9,54205
01023,AL,Choctaw County,10.0,677,37.7,43851
01025,AL,Clarke County,11.0,1380,38.0,48789
01027,AL,Clay County,10.0,577,29.7,44411
01029,AL,Cleburne County,4.0,585,24.3,57151
01031,AL,Coffee County,5.0,2383,26.3,62075
01033,AL,Colbert County,2.0,2057,24.9,50859
01035,AL,Conecuh County,11.0,809,44.7,44285
01037,AL,Coosa County,3.0,463,36.7,46575
01039,AL,Covington County,6.0,1897,32.4,47729
01041,AL,Crenshaw County,6.0,748,32.4,46855
01043,AL,Cullman County,3.0,2888,21.8,53931
01045,AL,Dale County,5.0,2551,32.8,49084
01047,AL,Dallas County,5.0,3090,48.7,37741
01049,AL,DeKalb County,6.0,4487,35.5,48239
01051,AL,Elmore County,2.0,2929,22.2,67026
01053,AL,Escambia County,6.0,1921,32.4,47598
01055,AL,Etowah County,2.0,4902,31.8,46634
01057,AL,Fayette County,6.0,755,30.3,49241
01059,AL,Franklin County,6.0,1728,31.2,49679
01061,AL,Geneva County,2.0,1375,32.2,47394
01063,AL,Greene County,6.0,765,59.0,31654
01065,AL,Hale County,2.0,990,41.9,45243
01067,AL,Henry County,2.0,905,35.3,53744
01069,AL,Houston County,2.0,5201,30.1,52814
01071,AL,Jackson County,5.0,1954,25.2,47960
01073,AL,Jefferson County,1.0,25580,24.2,56401
01075,AL,Lamar County,7.0,588,27.5,47687
01077,AL,Lauderdale County,2.0,3208,24.4,52114
01079,AL,Lawrence County,2.0,1458,28.1,52931
01081,AL,Lee County,2.0,4612,18.6,58888
01083,AL,Limestone County,2.0,2939,18.0,70236
01085,AL,Lowndes County,2.0,741,48.0,38066
01087,AL,Macon County,6.0,1127,52.6,37904
01089,AL,Madison County,2.0,10334,17.8,72377
01091,AL,Marengo County,11.0,1379,45.2,43313
01093,AL,Marion County,11.0,1306,29.0,47572
01095,AL,Marshall County,5.0,4723,27.8,52758
01097,AL,Mobile County,2.0,19494,28.7,51239
01099,AL,Monroe County,11.0,1314,40.3,44713
01101,AL,Montgomery County,2.0,11314,30.7,54556
01103,AL,Morgan County,2.0,4410,22.3,57269
01105,AL,Perry County,4.0,830,61.7,33149
01107,AL,Pickens County,2.0,1186,42.5,44139
01109,AL,Pike County,5.0,1530,34.4,44468
01111,AL,Randolph County,4.0,1296,37.4,47592
01113,AL,Russell County,2.0,3404,34.9,47706
01115,AL,St. Clair County,1.0,2758,18.7,69934
01117,AL,Shelby County,1.0,3563,9.4,82640
01119,AL,Sumter County,6.0,964,59.1,32537
01121,AL,Talladega County,3.0,3671,30.9,52470
01123,AL,Tallapoosa County,6.0,1965,32.9,50911
