fips,state,area_name,urban_influence_code_2013,metro_2013,unemployment_rate_2019,unemployed_2020,unemployment_rate_2020,med_hh_income_percent_of_state_total_2019
1001,AL,"Autauga County, AL",2.0,1.0,2.7,1262.0,4.9,112.4818878173828
1003,AL,"Baldwin County, AL",2.0,1.0,2.8,5425.0,5.6,115.64582824707033
1005,AL,"Barbour County, AL",6.0,0.0,3.8,605.0,7.0,69.48291778564453
1007,AL,"Bibb County, AL",1.0,1.0,3.1,573.0,6.6,92.55760955810548
1009,AL,"Blount County, AL",1.0,1.0,2.7,1008.0,4.1,102.18462371826172
1011,AL,"Bullock County, AL",6.0,0.0,3.7,265.0,5.5,61.62909698486328
1013,AL,"Butler County, AL",6.0,0.0,3.7,801.0,8.8,77.15516662597656
1015,AL,"Calhoun County, AL",2.0,1.0,3.6,3260.0,7.1,92.22731018066406
1017,AL,"Chambers County, AL",5.0,0.0,2.9,1078.0,6.8,81.15547180175781
1019,AL,"Cherokee County, AL",6.0,0.0,2.9,530.0,4.6,88.81806182861328
1021,AL,"Chilton County, AL",1.0,1.0,2.7,974.0,5.0,95.98423767089844
1023,AL,"Choctaw County, AL",10.0,0.0,4.7,308.0,6.7,76.89247131347656
1025,AL,"Clarke County, AL",11.0,0.0,5.8,700.0,9.0,84.64584350585938
1027,AL,"Clay County, AL",10.0,0.0,3.0,245.0,4.0,78.34888458251953
1029,AL,"Cleburne County, AL",4.0,0.0,3.2,262.0,4.6,99.04386901855467
1031,AL,"Coffee County, AL",5.0,0.0,2.9,944.0,4.4,110.67779541015624
1033,AL,"Colbert County, AL",2.0,1.0,3.8,1550.0,6.6,90.17210388183594
1035,AL,"Conecuh County, AL",11.0,0.0,4.0,331.0,7.3,80.23603820800781
1037,AL,"Coosa County, AL",3.0,0.0,3.0,242.0,5.5,81.17285919189453
1039,AL,"Covington County, AL",6.0,0.0,3.5,738.0,4.9,86.6044692993164
1041,AL,"Crenshaw County, AL",6.0,0.0,2.8,357.0,5.7,83.65494537353516
1043,AL,"Cullman County, AL",3.0,0.0,2.6,1650.0,4.3,98.31179809570312
