fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
1001,2.0,6611.0,54.8
1003,4.0,18726.0,59.4
1005,6.0,8120.0,68.8
1007,1.0,5272.0,73.1
1009,1.0,10677.0,70.5
1011,6.0,4245.0,72.9
1013,6.0,8353.0,70.5
1015,3.0,30535.0,58.6
1017,6.0,13616.0,67.4
1019,8.0,6126.0,69.8
1021,1.0,10285.0,73.2
1023,9.0,5720.0,68.2
1025,7.0,8459.0,62.7
1027,9.0,4784.0,66.8
1029,8.0,4431.0,73.1
1031,6.0,10790.0,59.9
1033,3.0,15050.0,56.3
1035,9.0,5889.0,71.2
1037,8.0,3983.0,69.8
1039,7.0,13470.0,68.3
1041,8.0,5595.0,73.9
1043,6.0,20137.0,69.7
1045,4.0,9412.0,44.6
1047,4.0,15421.0,58.6
1049,6.0,17375.0,72.5
1051,2.0,11066.0,62.0
1053,6.0,12205.0,65.4
1055,3.0,31249.0,59.2
1057,6.0,6552.0,69.8
1059,6.0,9158.0,67.4
1061,3.0,8446.0,68.1
1063,3.0,3879.0,73.2
1065,3.0,5803.0,74.2
1067,3.0,5087.0,70.2
1069,3.0,17385.0,57.3
1071,6.0,15217.0,71.5
1073,1.0,186882.0,52.7
1075,9.0,6105.0,73.9
1077,3.0,20423.0,56.0
1079,3.0,9757.0,71.3
1081,3.0,13597.0,51.5
1083,2.0,13226.0,62.4
1085,2.0,4077.0,73.6
1087,6.0,7510.0,61.0
1089,2.0,34090.0,37.0
1091,7.0,7786.0,65.6
1093,8.0,9771.0,71.6
1095,4.0,19838.0,65.9
1097,2.0,92179.0,57.4
1099,7.0,7137.0,67.3
1101,2.0,39981.0,45.7
1103,3.0,22039.0,54.0
1105,8.0,5338.0,71.2
1107,8.0,7409.0,68.4
1109,6.0,7862.0,62.6
1111,6.0,7664.0,71.7
1113,2.0,16516.0,72.9
1115,1.0,10304.0,68.8
1117,1.0,12329.0,63.9
1119,8.0,5393.0,67.5
1121,4.0,21302.0,64.3
1123,6.0,12564.0,66.9
1125,3.0,33142.0,55.2
1127,1.0,21847.0,69.7
1129,8.0,5409.0,70.5
1131,8.0,5260.0,69.6
1133,6.0,6440.0,69.1
2010,5.128857779191855,1237.0,39.7
2013,9.0,16711.331206126357,55.301340140395546
2016,7.0,16711.331206126357,55.301340140395546
2020,2.0,13711.0,24.1
2050,7.0,2258.0,80.6
2060,9.0,140.0,29.2
2068,8.0,16711.331206126357,55.301340140395546
2070,9.0,949.0,69.5
2090,3.0,4723.0,25.0
2100,9.0,423.0,53.1
2105,5.128857779191855,16711.331206126357,55.301340140395546
2110,5.0,1598.0,22.9
2122,7.0,2793.0,35.1
2130,7.0,1794.0,35.6
2150,7.0,1596.0,39.4
2158,9.0,1174.0,93.0
2160,5.128857779191855,577.0,63.7
2164,9.0,16711.331206126357,55.301340140395546
2170,2.0,1295.0,39.2
2180,7.0,1625.0,69.5
2185,7.0,836.0,80.9
2188,7.0,1220.0,75.7
2195,5.128857779191855,16711.331206126357,55.301340140395546
2198,5.128857779191855,16711.331206126357,55.301340140395546
