fips,rural_urban_continuum_code_2003,economic_typology_2015,census_2010_pop,residual_2010,r_birth_2011,r_death_2011,r_international_mig_2011,r_domestic_mig_2011,r_domestic_mig_2012,r_domestic_mig_2013,r_domestic_mig_2014,r_domestic_mig_2016
1001,2.0,0.0,54571,11.0,11.6,9.3454545455,0.0727272727,5.9454545455,-5.971991541,-4.121041931,1.8427294289,4.8316637453
1003,4.0,5.0,182265,46.0,11.842995104,9.8953120351,0.9576108421,15.684258934,16.219674385,21.691816222,19.610828588,20.402396843
1005,6.0,3.0,27457,2.0,12.109460745,11.816784956,-0.182922368,0.4755981561,-6.457530728,-7.762540199,-5.289428593,-18.89074469
1007,1.0,0.0,22915,2.0,11.575139757,12.101282473,0.4384522635,-5.436808068,-4.624328371,-6.683190227,0.7099436482,-1.328844791
1009,1.0,0.0,57322,-6.0,12.946335352,9.901162386,-0.278415814,0.4872276745,-1.737015807,-1.128482018,-2.7443658,-1.773604591
1011,6.0,3.0,10914,2.0,15.683726973,12.342814719,1.5776530091,-23.57199202,-7.612424228,-8.035925313,9.0514802942,-2.982346433
1013,6.0,0.0,20947,-3.0,13.110675152,12.632183358,0.0478491794,-3.684386813,-8.185670262,-14.81987033,-0.540766413,-7.666650072
1015,3.0,4.0,118572,-8.0,11.729733392,11.221586097,0.2201971612,-6.36877943,-5.15889569,-5.640650344,-4.59576226,-4.356844672
1017,6.0,0.0,34215,-2.0,11.767295136,12.970435038,0.7923116426,-2.171520798,3.5810205909,1.6705010038,-4.639144988,-6.170561403
1019,8.0,0.0,25989,-2.0,8.5463504774,11.85709886,-0.076994148,4.4656606098,2.040541321,6.1952861953,-0.770534751,5.4757281553
1021,1.0,0.0,43643,-4.0,12.914748918,10.853884729,0.6411577477,-1.877676261,-3.89591044,0.0687994496,0.2975236875,1.0506360916
1023,9.0,3.0,13859,0.0,8.3764294559,11.654162721,-0.145677034,-14.1306723,-0.441631091,-8.011869436,-2.994684435,-11.26503273
1025,7.0,3.0,25833,6.0,10.125990692,11.644889296,0.0778922361,-5.491402644,-17.73678609,-0.397788297,-9.162382219,-14.19307476
1027,9.0,3.0,13932,0.0,10.947978974,15.298169295,0.145006344,-11.09298532,-16.37107776,1.9375512333,4.5446079344,1.7159056998
1029,8.0,0.0,14972,-1.0,12.294534278,11.693171188,0.0,-5.679540291,-4.29285307,6.8307383225,3.3331111259,-0.80639742
