fips,rural_urban_continuum_code_2003,povall_2019,pctpovall_2019
1001,2.0,6723,12.1
1003,4.0,22360,10.1
1005,6.0,5909,27.1
1007,1.0,4101,20.3
1009,1.0,9324,16.3
1011,6.0,2537,30.0
1013,6.0,4124,21.6
1015,3.0,18988,17.2
1017,6.0,6415,19.6
1019,8.0,4121,15.9
1021,1.0,7044,16.0
1023,9.0,2811,22.6
1025,7.0,4281,18.4
1027,9.0,2156,16.6
1029,8.0,1945,13.3
1031,6.0,7734,15.0
1033,3.0,7998,14.6
1035,9.0,2662,22.2
1037,8.0,1789,17.1
1039,7.0,6269,17.2
1041,8.0,2289,16.8
1043,6.0,10088,12.2
1045,4.0,8727,18.1
1047,4.0,9533,26.0
1049,6.0,12848,18.2
1051,2.0,8753,11.4
1053,6.0,6980,20.5
1055,3.0,18801,18.8
1057,6.0,2721,17.0
1059,6.0,4989,16.1
1061,3.0,4180,16.1
1063,3.0,2553,31.7
1065,3.0,2956,20.5
1067,3.0,2919,17.2
1069,3.0,20207,19.4
1071,6.0,7481,14.7
1073,1.0,104288,16.2
1075,9.0,2070,15.3
1077,3.0,14193,15.7
1079,3.0,5773,17.7
1081,3.0,24731,15.5
1083,2.0,11535,12.0
1085,2.0,2555,26.6
1087,6.0,4817,29.3
1089,2.0,41789,11.5
1091,7.0,4601,24.8
1093,8.0,4883,16.9
1095,4.0,14989,15.7
1097,2.0,71784,17.7
1099,7.0,4770,23.3
1101,2.0,34268,15.8
1103,3.0,16146,13.7
1105,8.0,2778,33.9
1107,8.0,4380,24.3
1109,6.0,6742,21.8
1111,6.0,3906,17.5
1113,2.0,10823,18.9
1115,1.0,9780,11.2
1117,1.0,13428,6.2
1119,8.0,4195,36.4
1121,4.0,13326,17.4
1123,6.0,6341,16.0
1125,3.0,32226,16.2
1127,1.0,10837,17.3
1129,8.0,2998,18.6
1131,8.0,3329,32.5
1133,6.0,3882,16.7
2013,9.0,492,14.8
2016,7.0,414,7.6
2020,2.0,26636,9.5
2050,7.0,4249,23.5
2060,9.0,80,9.8
2068,8.0,132,6.6
2070,9.0,883,18.1
2090,3.0,6656,7.2
2100,9.0,247,9.8
2105,10.0,336,15.7
2110,5.0,1951,6.3
2122,7.0,5966,10.4
2130,7.0,1283,9.4
2150,7.0,909,7.1
2158,9.0,2217,26.8
2164,9.0,275,17.4
2170,2.0,10142,9.6
2180,7.0,2033,20.7
2185,7.0,1109,11.4
2188,7.0,1805,24.0
2195,11.0,219,6.7
2198,10.0,1085,17.6
2220,7.0,672,8.1
2230,12.0,47,4.0
2240,8.0,823,12.0
2261,9.0,781,8.6
2275,12.0,240,9.7
2282,9.0,85,14.7
2290,8.0,1266,24.4
4001,6.0,23680,33.4
4003,4.0,20172,16.6
4005,3.0,20817,15.9
4007,4.0,11219,21.1
4009,6.0,7207,20.1
4011,7.0,876,9.3
4012,6.0,4593,22.1
4013,1.0,539670,12.2
4015,4.0,33183,16.0
4017,4.0,27440,25.2
4019,2.0,142859,14.0
4021,1.0,52975,12.1
4023,4.0,8688,18.8
4025,3.0,27845,12.0
4027,3.0,41782,20.4
5001,6.0,2714,15.8
5003,7.0,3603,18.5
5005,7.0,5248,12.7
5007,2.0,24525,8.9
5009,7.0,5572,15.1
5011,6.0,2426,22.9
5013,9.0,771,15.4
5015,6.0,4118,14.7
5017,7.0,2900,31.0
