fips,rural_urban_continuum_code_2013,civilian_labor_force_2000,unemployment_rate_2000,median_household_income_2019
1001,2.0,21861.0,4.1,58233.0
1003,3.0,69979.0,3.7,59871.0
1005,6.0,11449.0,5.6,35972.0
1007,1.0,8623.0,5.4,47918.0
1009,1.0,25266.0,3.5,52902.0
1011,6.0,3997.0,8.5,31906.0
1013,6.0,9221.0,7.9,39944.0
1015,3.0,53244.0,5.1,47747.0
1017,6.0,17486.0,4.4,42015.0
1019,6.0,11378.0,4.5,45982.0
1021,1.0,19601.0,4.3,49692.0
1023,9.0,6226.0,6.6,39808.0
1025,7.0,11677.0,7.4,43822.0
1027,9.0,6608.0,6.2,40562.0
1029,8.0,7002.0,4.1,51276.0
1031,4.0,20037.0,5.9,57299.0
1033,3.0,26124.0,5.6,46683.0
1035,7.0,5521.0,6.6,41539.0
1037,8.0,5329.0,5.5,42024.0
1039,6.0,17436.0,7.0,44836.0
1041,8.0,6155.0,5.8,43309.0
1043,4.0,38898.0,4.2,50897.0
1045,4.0,20923.0,5.3,45120.0
1047,4.0,17948.0,8.1,34034.0
1049,6.0,32516.0,4.1,44277.0
1051,2.0,31195.0,4.0,62310.0
1053,6.0,16199.0,5.3,42712.0
1055,3.0,48496.0,5.9,43047.0
1057,6.0,8332.0,5.9,44212.0
1059,6.0,14729.0,6.6,44874.0
1061,3.0,12261.0,5.1,43089.0
1063,8.0,3534.0,6.9,28699.0
1065,3.0,7023.0,6.1,40745.0
1067,3.0,7684.0,5.0,48597.0
1069,3.0,45464.0,4.4,50138.0
1071,6.0,28083.0,5.2,44322.0
1073,1.0,331141.0,4.0,54127.0
1075,8.0,7497.0,7.0,42686.0
1077,3.0,43733.0,5.0,48188.0
1079,3.0,16682.0,5.0,47797.0
1081,3.0,58396.0,4.0,54160.0
1083,2.0,33039.0,3.8,64729.0
1085,2.0,5087.0,7.0,33930.0
1087,6.0,9139.0,5.8,34281.0
1089,2.0,149626.0,3.6,68609.0
1091,7.0,9072.0,5.3,38838.0
1093,7.0,14302.0,6.7,44675.0
1095,4.0,40809.0,4.8,48913.0
1097,2.0,186171.0,5.0,49492.0
1099,7.0,10343.0,6.5,40005.0
1101,2.0,106415.0,4.2,52711.0
1103,3.0,56614.0,4.3,54355.0
1105,8.0,4132.0,9.3,29572.0
1107,3.0,8657.0,7.6,40249.0
1109,6.0,14153.0,5.6,41271.0
1111,6.0,10026.0,4.9,42922.0
1113,2.0,22142.0,4.7,43670.0
1115,1.0,31555.0,3.8,65403.0
1117,1.0,82798.0,2.8,77801.0
1119,8.0,5420.0,9.2,29209.0
1121,4.0,35828.0,5.2,47719.0
1123,6.0,19486.0,4.9,47100.0
1125,3.0,82181.0,4.0,52307.0
1127,1.0,31714.0,5.9,45991.0
1129,8.0,7781.0,6.9,48864.0
1131,9.0,3968.0,8.8,30998.0
1133,6.0,11768.0,7.9,40827.0
2013,9.0,942.0,8.7,66923.0
2016,9.0,2738.0,5.1,84726.0
2020,2.0,140750.0,5.0,82512.0
2050,7.0,6406.0,8.9,48262.0
2060,9.0,925.0,6.4,87950.0
2068,8.0,1341.0,7.2,78434.0
2070,9.0,1964.0,7.3,57436.0
2090,3.0,41048.0,6.1,74076.0
2100,9.0,1397.0,8.0,62548.0
2105,9.0,11843.666666666666,8.196296296296296,53141.0
2110,5.0,18040.0,4.6,85419.0
2122,7.0,24609.0,8.2,68625.0
2130,7.0,8299.0,6.2,75706.0
2150,7.0,6548.0,8.3,79669.0
2158,9.0,2237.0,15.2,35369.0
2164,9.0,1036.0,5.2,51693.0
2170,2.0,28896.0,7.3,75856.0
2180,7.0,3705.0,9.6,58464.0
2185,7.0,3407.0,8.4,84784.0
2188,7.0,2948.0,9.0,61660.0
2195,9.0,11843.666666666666,8.196296296296296,71296.0
2198,9.0,11843.666666666666,8.196296296296296,50049.0
2201,7.586206896551724,2666.0,14.1,67604.20689655172
2220,7.0,4458.0,4.8,80660.0
2230,9.0,11843.666666666666,8.196296296296296,74898.0
2232,7.586206896551724,1830.0,9.8,67604.20689655172
2240,9.0,2271.0,12.3,69646.0
2261,9.0,5226.0,7.6,74574.0
2275,9.0,11843.666666666666,8.196296296296296,62496.0
2280,7.586206896551724,3077.0,9.7,67604.20689655172
2282,9.0,370.0,6.8,61587.0
2290,9.0,2645.0,11.5,42063.0
4001,6.0,19039.0,9.0,35386.0
4003,3.0,48657.0,4.5,48650.0
4005,3.0,62634.0,4.4,58301.0
4007,4.0,20341.0,5.3,45980.0
4009,7.0,12274.0,5.5,50685.0
4011,7.0,3922.0,4.2,68066.0
4012,6.0,7626.0,6.4,39407.0
4013,1.0,1598523.0,3.2,68634.0
4015,3.0,68818.0,4.5,49712.0
4017,4.0,34281.0,7.3,40676.0
4019,2.0,409884.0,3.7,56150.0
4021,1.0,69640.0,4.6,62067.0
4023,4.0,14755.0,8.2,47779.0
4025,3.0,75826.0,4.0,54242.0
4027,3.0,64393.0,16.4,47024.0
5001,6.0,10161.0,4.5,52539.0
5003,7.0,10505.0,5.8,47744.0
5005,7.0,16294.0,4.1,41950.0
5007,2.0,76911.0,2.8,70775.0
5009,7.0,16246.0,4.1,50083.0
5011,7.0,5103.0,6.4,39982.0
5013,9.0,2558.0,5.4,48415.0
5015,6.0,13038.0,3.9,43841.0
5017,7.0,5434.0,7.2,37014.0
5019,7.0,11228.0,4.2,44105.0
5021,7.0,8075.0,5.3,40686.0
5023,6.0,10736.0,4.5,46214.0
5025,3.0,3903.0,4.9,53773.0
5027,7.0,11279.0,5.1,42964.0
5029,6.0,9349.0,6.0,46924.0
5031,3.0,42796.0,3.9,47766.0
5033,2.0,24785.0,3.5,44600.0
5035,1.0,21967.0,4.1,41976.0
5037,6.0,8685.0,4.6,45273.0
5039,6.0,3864.0,5.5,41314.0
5041,6.0,6318.0,8.0,37005.0
5043,6.0,8745.0,5.9,44162.0
5045,2.0,45490.0,3.6,58482.0
5047,6.0,8076.0,3.3,45670.0
5049,9.0,4971.0,3.8,32926.0
5051,3.0,38473.0,4.2,45786.0
5053,2.0,8098.0,3.9,58566.0
5055,4.0,18144.0,4.7,47098.0
5057,6.0,11081.0,4.5,40867.0
5059,6.0,14296.0,4.2,45860.0
5061,6.0,6636.0,4.2,41427.0
5063,7.0,16720.0,4.8,47903.0
5065,9.0,5225.0,4.6,40233.0
5067,6.0,7703.0,7.4,38636.0
5069,3.0,35952.0,5.7,40555.0
5071,7.0,10203.0,4.1,40396.0
5073,8.0,3455.0,5.8,37164.0
5075,6.0,7870.0,5.2,39604.0
5077,7.0,3897.0,7.4,30421.0
5079,3.0,5040.0,6.1,44272.0
5081,3.0,6395.0,4.5,43257.0
5083,6.0,9872.0,4.1,42249.0
5085,2.0,26444.0,3.3,62782.0
5087,2.0,6925.0,3.1,48016.0
5089,9.0,6657.0,3.8,38760.0
5091,3.0,18216.0,4.4,50905.0
5093,4.0,22678.0,7.7,39990.0
5095,7.0,4076.0,5.0,34289.0
5097,8.0,4079.0,4.0,39591.0
5099,7.0,4610.0,4.7,36528.0
5101,9.0,3761.0,4.3,37648.0
5103,7.0,12402.0,5.8,46393.0
5105,2.0,4811.0,4.9,50560.0
5107,6.0,9706.0,6.1,31521.0
5109,9.0,5439.0,4.1,44426.0
5111,3.0,11451.0,4.7,40536.0
5113,7.0,8992.0,4.0,39722.0
5115,5.0,26805.0,4.2,47519.0
5117,8.0,4406.0,4.3,46205.0
5119,2.0,184451.0,3.7,52684.0
5121,7.0,8293.0,5.2,42875.0
5123,6.0,10919.0,6.9,34389.0
5125,2.0,42748.0,3.2,66944.0
5127,6.0,4937.0,3.4,38065.0
5129,9.0,3309.0,4.9,34712.0
5131,2.0,56523.0,3.3,48945.0
5133,6.0,7244.0,3.8,43493.0
5135,7.0,6565.0,5.1,37591.0
5137,9.0,4666.0,4.3,36930.0
5139,7.0,20204.0,4.7,46602.0
5141,8.0,6629.0,5.3,38096.0
5143,2.0,82281.0,2.9,52158.0
5145,4.0,30997.0,4.7,46388.0
5147,9.0,3777.0,6.1,36568.0
5149,6.0,9939.0,3.9,44469.0
6001,1.0,768654.0,3.6,107589.0
6003,8.0,555.0,6.3,58112.0
6005,6.0,15260.0,5.1,62640.0
6007,3.0,93071.0,6.1,58394.0
6009,6.0,18133.0,5.5,68248.0
6011,6.0,9253.0,11.4,59048.0
6013,1.0,500681.0,3.5,106555.0
6015,7.0,10228.0,7.3,48979.0
6017,1.0,82122.0,4.1,86202.0
6019,2.0,387784.0,10.3,56926.0
6021,6.0,11277.0,8.4,55682.0
6023,5.0,60073.0,5.7,51134.0
6025,3.0,55945.0,17.3,48102.0
6027,7.0,8847.0,4.6,59605.0
6029,2.0,293341.0,8.2,53245.0
6031,3.0,49156.0,9.9,57297.0
6033,4.0,23058.0,7.2,46897.0
6035,7.0,11343.0,7.1,53613.0
6037,1.0,4665167.0,5.4,72721.0
6039,3.0,54852.0,8.6,61105.0
6041,1.0,141747.0,2.8,112069.0
6043,8.0,7971.0,6.1,52760.0
6045,4.0,43545.0,5.5,52309.0
6047,2.0,90193.0,9.5,59733.0
6049,6.0,3749.0,7.4,45311.0
6051,7.0,7392.0,4.6,66226.0
6053,2.0,203030.0,7.3,76509.0
6055,3.0,66592.0,3.6,90230.0
6057,4.0,45437.0,4.1,69550.0
6059,1.0,1480373.0,3.5,95761.0
6061,1.0,132043.0,3.6,97688.0
6063,7.0,9753.0,7.0,59376.0
6065,1.0,680221.0,5.3,72905.0
6067,1.0,608389.0,4.3,71891.0
6069,1.0,27430.0,5.9,84209.0
6071,1.0,738895.0,4.7,67398.0
6073,1.0,1375223.0,3.9,83576.0
6075,1.0,472525.0,3.4,121795.0
6077,2.0,258695.0,6.9,68458.0
6079,2.0,122394.0,4.0,76599.0
6081,1.0,397997.0,2.8,135234.0
6083,2.0,202270.0,4.3,74530.0
6085,1.0,940298.0,3.1,132444.0
6087,2.0,148261.0,5.1,85770.0
6089,3.0,74781.0,6.0,61464.0
6091,8.0,1800.0,5.8,55862.0
6093,6.0,19128.0,7.4,45954.0
6095,2.0,194085.0,4.6,85704.0
6097,2.0,253136.0,3.3,87084.0
6099,2.0,207563.0,7.7,62761.0
6101,3.0,37817.0,9.3,60910.0
6103,4.0,23593.0,6.4,51672.0
6105,8.0,5104.0,9.7,43881.0
6107,2.0,171627.0,10.3,56776.0
6109,4.0,22872.0,5.8,64729.0
6111,2.0,392421.0,4.5,91446.0
6113,1.0,86130.0,5.0,70951.0
6115,3.0,24268.0,7.9,56607.0
8001,1.0,186637.0,2.7,75341.0
8003,7.0,7205.0,3.6,38213.0
8005,1.0,281688.0,2.4,82364.0
8007,7.0,5012.0,3.2,57604.0
8009,9.0,2105.0,2.9,38945.0
8011,7.0,2273.0,3.9,35764.0
8013,2.0,159943.0,2.4,88341.0
8014,1.0,22552.0,2.4,106892.0
8015,7.0,7344.0,3.3,60331.0
8017,9.0,1120.0,2.5,52337.0
8019,1.0,6042.0,2.7,79900.0
8021,9.0,3338.0,5.0,40944.0
8023,9.0,1247.0,7.4,34731.0
8025,8.0,1488.0,5.3,38224.0
8027,8.0,1665.0,3.4,57381.0
8029,6.0,12330.0,3.7,51525.0
8031,1.0,305042.0,3.0,75456.0
8033,9.0,903.0,5.5,50232.0
8035,1.0,105548.0,2.0,123697.0
8037,5.0,25619.0,2.4,89268.0
8039,1.0,11599.0,2.2,101733.0
8041,2.0,264548.0,2.9,72675.0
8043,4.0,17845.0,3.9,52239.0
8045,5.0,24742.0,2.7,73788.0
8047,1.0,3307.0,2.5,74806.0
8049,7.0,7624.0,2.5,71029.0
8051,7.0,8180.0,2.7,60408.0
8053,9.0,651.0,2.0,61391.0
8055,6.0,3075.0,5.5,39955.0
8057,9.0,885.0,2.8,53577.0
8059,1.0,309216.0,2.3,89696.0
8061,9.0,782.0,3.1,46901.0
8063,7.0,3843.0,2.5,42951.0
8065,6.0,4041.0,3.3,56850.0
8067,4.0,24447.0,2.9,77829.0
8069,2.0,146251.0,2.5,75332.0
8071,7.0,6676.0,4.1,43452.0
8073,8.0,2624.0,2.7,43077.0
8075,7.0,10000.0,2.8,58429.0
8077,3.0,58850.0,3.3,60249.0
8079,9.0,419.0,3.6,63015.0
8081,7.0,6995.0,3.5,63232.0
8083,6.0,11798.0,4.1,52641.0
8085,4.0,16204.0,3.6,50707.0
8087,6.0,12542.0,3.0,57535.0
8089,6.0,8815.0,4.3,43723.0
8091,9.0,2198.0,2.6,72836.0
8093,1.0,8524.0,2.5,77221.0
8095,9.0,2052.0,2.6,53432.0
8097,7.0,9921.0,2.7,92820.0
8099,7.0,6927.0,2.9,47051.0
8101,3.0,63915.0,3.9,51075.0
8103,9.0,3236.0,2.9,65960.0
8105,7.0,5817.0,4.5,48496.0
8107,7.0,12505.0,2.5,87691.0
8109,9.0,2707.0,5.5,37004.0
8111,9.0,513.0,4.5,50524.0
8113,9.0,4722.0,3.0,77209.0
8115,9.0,1398.0,2.6,42808.0
8117,5.0,16062.0,2.2,86570.0
8119,2.0,11881.0,2.9,70599.0
8121,9.0,2439.0,2.5,53263.0
8123,2.0,93466.0,2.7,78160.0
8125,7.0,5036.0,2.6,52841.0
9001,2.0,451537.0,1.9,96966.0
9003,1.0,434286.0,2.3,75336.0
9005,4.0,100655.0,1.8,81015.0
9007,1.0,86509.0,1.9,81721.0
9009,2.0,419397.0,2.3,69687.0
9011,2.0,133429.0,2.1,75226.0
9013,1.0,76613.0,1.7,90181.0
9015,2.0,58271.0,2.3,63309.0
10001,3.0,63388.0,3.9,58804.0
10003,1.0,270201.0,3.5,76076.0
10005,2.0,79367.0,3.7,64839.0
11001,1.0,309977.0,5.7,90395.0
12001,2.0,117215.0,3.0,49880.0
12003,1.0,10487.0,3.0,60454.0
12005,3.0,72654.0,4.7,58376.0
12007,6.0,10679.0,3.8,47509.0
12009,2.0,234063.0,3.7,57582.0
12011,1.0,862804.0,3.7,61429.0
12013,6.0,5200.0,4.8,41399.0
12015,3.0,55649.0,3.7,54756.0
12017,3.0,44138.0,4.7,49762.0
12019,1.0,74520.0,3.1,75776.0
12021,2.0,117136.0,3.8,76415.0
12023,4.0,25908.0,4.0,47087.0
12027,6.0,13393.0,4.5,41673.0
12029,6.0,5175.0,4.5,39793.0
12031,1.0,411949.0,3.4,58339.0
12033,2.0,133669.0,4.1,52822.0
12035,2.0,21195.0,3.6,62831.0
12037,6.0,4453.0,4.0,47504.0
12039,2.0,20131.0,4.0,42975.0
12041,2.0,6487.0,3.6,46171.0
12043,6.0,4123.0,4.8,45412.0
12045,3.0,5295.0,6.1,53228.0
12047,6.0,4623.0,5.4,39241.0
12049,6.0,10851.0,6.0,41430.0
12051,4.0,16447.0,7.3,45107.0
12053,1.0,50040.0,4.4,50705.0
12055,3.0,33472.0,4.8,45723.0
12057,1.0,533645.0,3.3,61133.0
12059,6.0,7811.0,4.9,38874.0
12061,3.0,51517.0,5.2,61173.0
12063,6.0,19573.0,4.6,40543.0
12065,2.0,6120.0,3.7,47192.0
12067,9.0,2744.0,4.1,45480.0
12069,1.0,94129.0,3.6,57660.0
12071,2.0,209581.0,3.3,62364.0
12073,2.0,136017.0,3.1,55081.0
12075,6.0,14528.0,3.9,41405.0
12077,8.0,2645.0,4.2,44236.0
12079,6.0,7767.0,4.1,37919.0
12081,2.0,124326.0,3.2,64151.0
12083,2.0,110190.0,4.1,49079.0
12085,2.0,56861.0,4.2,70806.0
12086,1.0,1091659.0,4.5,54991.0
12087,4.0,45588.0,2.9,67528.0
12089,1.0,30549.0,3.3,72818.0
12091,3.0,81126.0,3.7,63520.0
12093,4.0,15804.0,5.4,45225.0
